Название,Энергия (ккал),Белки (г),Углеводы (г),Жиры (г)
пирожок жареный с картофелем и печенью,220,8,8,27
Фереро роше,580,9,41,43
Пюре быстрого приготовления картофельное с мясным вкусом Роллтон Rollton,370,6,8,67
Хлебцы Finn Crisp Multigrain многозерновые,350,11,3,63
Сыр лёгкий Вкусвилл,258,29,17,2
Конфеты Трюфель молочный КФ Essen Эссен,595,7,42,49
булгур с луком морковью и маслом,127,4,3,22
Пицца ветчина и сыр 'ДоДо' DODO,283,12,11,34
Хлеб пшеничный со льном Благодатный,220,10,1,43
Доброр рулет куриный,102,22,2,1
Молоко ультрапастеризованное 2.8% Свежие новости,55,3,3,5
Кексы домашние с шоколадом,289,5,10,43
Гейнер ON Serious Mass,374,15,1,75
Арахисовая паста c кусочками арахиса Cuisine royale,638,25,50,22
Зефир с кусочками малины Нежность Klim,337,0.9,0,82
Рассольник домашний,42,2,2,4
Ассорти фруктово-ореховое Своя Линия,457,15,26,40
йогурт питьевой 2.5% манго Epica,84,4,2,11
сыр плавленый сливочный 50% ванна Сыробогатов,260,11,21,7
протеиновый батончик,371,31,17,33
вафельные конфеты в молочном шоколаде без сахара на стевии Победа вкуса,480,9,31,43
Тыква запеченная с сахаром,68,1,0.19,18
Чай травяной из лепестков суданской розы Каркадэ Принцесса Ява,0,0,0,0
Молоко 2.5% Щоденний збір,53,3,2,5
Сок Мультифрукт Мой,48,0,0,12
Газированный напиток Double Funny Fresh Bar,41,0,0,10
помидоры с яйцом,127,6,10,2
горбуша холодного копчення,152,22,7,0
щи из свежей капусты на рёбрах,49,2,3,4
Батончик вафля в шоколаде с соленой карамелью Goodmix,521,6,28,61
Снеки морские Мультиснеки хрустящие с ламинарией. спирулиной. морской солью. имбирем и васаби без сахара Super food Агросильпром,399,13,25,18
Молоко безлактозное 0.5% На здоровье,35,3,0.5,5
крабовые палочки снежный краб VICI,82,9,0.6,11
Яйцо шоколадное Kinder Joy Киндер Джой,548,8,32,56
Кабачковая икра Кубаночка,91,0,7,7
Творог обезжиренный Молочные горки,71,16,0,1
Сыр Сулугуни Золотий Резерв,282,20,22,0.4
Кукси корейское,181,6,15,11
орешки микс,512,16,32,37
варенка,330,7,8,56
Вафли 'Твист' с шоколадной воздушной начинкой 'KDV',475,6,26,55
горох колотый желтый,316,20,0.6,50
Масло сладкосливочное 73% Крестьянское Ферма,666,0.9,73,1
Куырдак,120,9,6,6
бедро куриное без кожи жаренное,217,28,11,1
джем малиновый Махеевъ,273,0.3,0,68
Сырок глазированный с крошками печенья. вареным сгущенным молоком и какао Картошка 15% Мушкетер,395,6,8,52
сырок глазированный 23% лесная ягода Молочный мир,390,8,24,35
Тушеная капуста с нежирной говядиной,64,7,2,3
Карамель леденцовая со вкусом мяты,395,0,0,99
Хамон серано Porxas,234,30,10,2
хлеб Бородинский Черёмушки,207,7,1,42
Печень трески натуральная De Luxe,389,8,40,1
Салат с сухариками,144,6,8,13
масло сливочное крестьянское 72.5% Из Вологды,662,1,72,1
Котлета кур. запеченная,102,17,2,4
Мёд гречишный Дедушкин улей,320,,,80
Филе. запеченое в духовке,110,21,2,1
Бутерброд с лососем,371,13,24,26
Форель слабосолёная Своя рыбка,134,16,8,0
Арахисовая паста без добавок DopDrops,550,24,45,6
сухарики три корочки,410,11,8,73
Суп с грибами и картофелем,39,0.7,3,3
Протеин Whey Protein Ваниль WPC 80 Willmax,413,78,7,3
Белый шоколад,604,8,44,48
пица АТБ шинка салями,300,13,14,29
Рожки с курицей,300,3,10,10
Напиток со вкусом ананас и мяты Fuse Tea,20,0,0,5
Кетчуп томатный натуральные специи Махеевъ,87,1,0,20
каша льняная,560,34,44,12
"Салат ""Цезарь"" диетический",101,12,3,6
Творожок Страчателла Савушкин,112,7,4,13
Колбаса варено-копченая Балыковая Дымов,175,10,15,0
овсянка цельнозерновая,372,13,6,61
Блины с вишней С пылу с жару,140,3,3,25
Соус Паприк Торчин,333,0.7,33,9
колбаса салями охотничья,424,13,41,0
Напиток кофейный растворимый Милка капучино с какао Jacobs,423,6,12,69
Макароны с грибами,114,4,0.5,19
Ачма с сыром и творогом,153,11,6,13
Конфеты красная шапочка Коммунарка,540,6,31,58
хлопья Кукурузные без сахара На Здоровье!,380,10,2,81
печенька овсяная,56,0,2,7
Сливки 15% Яготинские Яготинські,161,3,15,4
жареное яйцо с сосиской,112,6,10,0.55
Напиток энергетический безалкогольный динамит Game Dynamit,43,0,0,11
Жареная рыба путассу,151,14,8,6
Печенье крокет Спартак,400,8,9,70
Хлеб пеклеванный,230,5,1,50
Конфеты батончики Ореховая роща фабрика Красный Октябрь,528,5,32,57
